corr,Y,X,low_corr,up_corr,state,county,n
0.6634302749730048,mortality_rate,retail_and_recreation_percent_change_from_baseline,0.5029744696897839,0.7901795771157597,california,imperial,105
-0.048376817687563044,mortality_rate,grocery_and_pharmacy_percent_change_from_baseline,-0.2784643803764819,0.19220841271433248,california,imperial,105
-0.42860468203221613,mortality_rate,parks_percent_change_from_baseline,-0.5662732763335954,-0.2700782322621771,california,imperial,105
0.3360421593298604,mortality_rate,transit_stations_percent_change_from_baseline,0.11117765399112851,0.5307545944213419,california,imperial,105
0.3841307652128079,mortality_rate,workplaces_percent_change_from_baseline,0.16817874883287345,0.5683489286771096,california,imperial,105
-0.8135528916719693,mortality_rate,residential_percent_change_from_baseline,-0.894753876193078,-0.6775852243719606,california,imperial,105
,mortality_rate,HOUSEHOLD_MEDIAN_INCOME_DOLLARS,,,california,imperial,105
,mortality_rate,HIGH_SCHOOL_GRADUATE_OR_HIGHER_25_PLUS_TOTAL,,,california,imperial,105
,mortality_rate,BACHELOR_DEGREE_OR_HIGHER_25_PLUS_TOTAL,,,california,imperial,105
,mortality_rate,PUBLIC_TRANSPORTATION,,,california,imperial,105
,mortality_rate,CAR_TRUCK_VAN_ALONE,,,california,imperial,105
,mortality_rate,CAR_TRUCK_VAN_CARPOOL,,,california,imperial,105
,mortality_rate,PERCENT_INSURED,,,california,imperial,105
,mortality_rate,BELOW_POVERTY_LEVEL,,,california,imperial,105
0.3620278629549135,mortality_rate,retail_and_recreation_percent_change_from_baseline,0.2639211619852168,0.4547904372489916,california,riverside,375
-0.48504933659201316,mortality_rate,grocery_and_pharmacy_percent_change_from_baseline,-0.565524890038032,-0.3998096745229998,california,riverside,375
-0.5925136480482527,mortality_rate,parks_percent_change_from_baseline,-0.6592778101709064,-0.5166578369520484,california,riverside,375
-0.27458459552153525,mortality_rate,transit_stations_percent_change_from_baseline,-0.3748644385392043,-0.17020277663917793,california,riverside,375
0.4117208563911993,mortality_rate,workplaces_percent_change_from_baseline,0.31516930716008995,0.49823226607231863,california,riverside,375
-0.4364673875699402,mortality_rate,residential_percent_change_from_baseline,-0.5174788534942977,-0.3471154015699508,california,riverside,375
-0.49929530421853935,mortality_rate,HOUSEHOLD_MEDIAN_INCOME_DOLLARS,-0.5799222396789196,-0.41538537792223146,california,riverside,375
-0.44250242199425255,mortality_rate,HIGH_SCHOOL_GRADUATE_OR_HIGHER_25_PLUS_TOTAL,-0.5301504103843495,-0.3482748368852074,california,riverside,375
-0.49929530421853935,mortality_rate,BACHELOR_DEGREE_OR_HIGHER_25_PLUS_TOTAL,-0.5780064580605159,-0.4113664921158262,california,riverside,375
-0.12028777163358954,mortality_rate,PUBLIC_TRANSPORTATION,-0.21868537763077261,-0.020962952813322833,california,riverside,375
0.12028777163358954,mortality_rate,CAR_TRUCK_VAN_ALONE,0.02353460870969077,0.2169413831371766,california,riverside,375
0.3645436363968332,mortality_rate,CAR_TRUCK_VAN_CARPOOL,0.26359710442437567,0.4614289267890378,california,riverside,375
-0.4759398246343931,mortality_rate,PERCENT_INSURED,-0.5568483788050618,-0.392963394932888,california,riverside,375
0.49929530421853935,mortality_rate,BELOW_POVERTY_LEVEL,0.41219430937231816,0.5774901073390071,california,riverside,375
0.18296605202131927,mortality_rate,retail_and_recreation_percent_change_from_baseline,-0.005181748012964946,0.3563198208529148,california,sonoma,110
-0.44341909196119456,mortality_rate,grocery_and_pharmacy_percent_change_from_baseline,-0.5804655042188215,-0.27488786086618755,california,sonoma,110
-0.44491463463376657,mortality_rate,parks_percent_change_from_baseline,-0.5790689166344665,-0.28532951988926,california,sonoma,110
-0.5128601423095004,mortality_rate,transit_stations_percent_change_from_baseline,-0.6285803153852276,-0.37706809858002427,california,sonoma,110
0.06824557959253673,mortality_rate,workplaces_percent_change_from_baseline,-0.1260718530662539,0.2551423859620709,california,sonoma,110
0.1218009825883861,mortality_rate,residential_percent_change_from_baseline,-0.06467568409367387,0.3124867593711678,california,sonoma,110
-0.7849077829466038,mortality_rate,HOUSEHOLD_MEDIAN_INCOME_DOLLARS,-0.8320034324564548,-0.7109976003967938,california,sonoma,110
-0.7849077829466038,mortality_rate,HIGH_SCHOOL_GRADUATE_OR_HIGHER_25_PLUS_TOTAL,-0.8303814927914213,-0.713212114561195,california,sonoma,110
-0.7849077829466038,mortality_rate,BACHELOR_DEGREE_OR_HIGHER_25_PLUS_TOTAL,-0.8312306451880181,-0.7099358979196778,california,sonoma,110
-0.6850533067719429,mortality_rate,PUBLIC_TRANSPORTATION,-0.7850921806343009,-0.544067527125956,california,sonoma,110
-0.6740076360122104,mortality_rate,CAR_TRUCK_VAN_ALONE,-0.7819668743546032,-0.5383354188175469,california,sonoma,110
0.7853915349506796,mortality_rate,CAR_TRUCK_VAN_CARPOOL,0.7113151715783563,0.8314712960084762,california,sonoma,110
0.782166521590174,mortality_rate,PERCENT_INSURED,0.7199616579047677,0.8204529500917337,california,sonoma,110
0.6785226547169186,mortality_rate,BELOW_POVERTY_LEVEL,0.5356214812524333,0.7884313565831862,california,sonoma,110
0.09223770063680131,mortality_rate,retail_and_recreation_percent_change_from_baseline,-0.006273027798018316,0.19246784470542985,california,sacramento,424
-0.6824118866631961,mortality_rate,grocery_and_pharmacy_percent_change_from_baseline,-0.7378861559693751,-0.6205870613681495,california,sacramento,424
-0.6920853923906647,mortality_rate,parks_percent_change_from_baseline,-0.730411034638123,-0.6473927363385003,california,sacramento,424
-0.4310188397582761,mortality_rate,transit_stations_percent_change_from_baseline,-0.5099867939050287,-0.34731081327072794,california,sacramento,424
0.14345513166669746,mortality_rate,workplaces_percent_change_from_baseline,0.04305712480719382,0.23939183967242963,california,sacramento,424
-0.011911604005463202,mortality_rate,residential_percent_change_from_baseline,-0.1118974791037196,0.08430206067958376,california,sacramento,424
-0.28992304668946833,mortality_rate,HOUSEHOLD_MEDIAN_INCOME_DOLLARS,-0.3768715988801147,-0.1978748344896631,california,sacramento,424
-0.15787035475422245,mortality_rate,HIGH_SCHOOL_GRADUATE_OR_HIGHER_25_PLUS_TOTAL,-0.2510690809063096,-0.06339001116636488,california,sacramento,424
-0.3160509350963899,mortality_rate,BACHELOR_DEGREE_OR_HIGHER_25_PLUS_TOTAL,-0.4021422372624824,-0.22580411410871085,california,sacramento,424
-0.05235918534315805,mortality_rate,PUBLIC_TRANSPORTATION,-0.16020573880534875,0.05533374542471755,california,sacramento,424
-0.10561457794037937,mortality_rate,CAR_TRUCK_VAN_ALONE,-0.1964898110400979,-0.012344867236535282,california,sacramento,424
