state,county,n,features,coef,nrmse,rmse,low_nrmse,up_nrmse,low_coef,up_coef
california,"alameda,sacramento,sanfrancisco,losangeles,santaclara",1156,constant,0.0,0.0077722823034613595,0.00809189517164029,0.007198927093459767,0.010086773050746425,0.0,0.0
california,"alameda,sacramento,sanfrancisco,losangeles,santaclara",1156,time,0.052534917439090945,0.0077722823034613595,0.00809189517164029,0.007198927093459767,0.010086773050746425,0.031456510128111057,0.05421998647860414
california,"alameda,sacramento,sanfrancisco,losangeles,santaclara",1156,retail_and_recreation_percent_change_from_baseline,0.012778995174213617,0.0077722823034613595,0.00809189517164029,0.007198927093459767,0.010086773050746425,0.004794828946634426,0.02004338464611089
california,"alameda,sacramento,sanfrancisco,losangeles,santaclara",1156,grocery_and_pharmacy_percent_change_from_baseline,0.005538656053447483,0.0077722823034613595,0.00809189517164029,0.007198927093459767,0.010086773050746425,0.004444779254236055,0.022236537409836263
california,"alameda,sacramento,sanfrancisco,losangeles,santaclara",1156,parks_percent_change_from_baseline,0.013583056636866337,0.0077722823034613595,0.00809189517164029,0.007198927093459767,0.010086773050746425,0.006580545459799652,0.0309482265873276
california,"alameda,sacramento,sanfrancisco,losangeles,santaclara",1156,transit_stations_percent_change_from_baseline,0.003226461125649697,0.0077722823034613595,0.00809189517164029,0.007198927093459767,0.010086773050746425,0.0021150286560352675,0.007412580184093739
california,"alameda,sacramento,sanfrancisco,losangeles,santaclara",1156,workplaces_percent_change_from_baseline,0.00350738293439872,0.0077722823034613595,0.00809189517164029,0.007198927093459767,0.010086773050746425,0.0024572397377804114,0.009571360671380416
california,"alameda,sacramento,sanfrancisco,losangeles,santaclara",1156,residential_percent_change_from_baseline,0.0015989770987922369,0.0077722823034613595,0.00809189517164029,0.007198927093459767,0.010086773050746425,0.0019050905151943487,0.007440844380449925
california,"alameda,sacramento,sanfrancisco,losangeles,santaclara",1156,HOUSEHOLD_MEDIAN_INCOME_DOLLARS,0.048399499186543855,0.0077722823034613595,0.00809189517164029,0.007198927093459767,0.010086773050746425,0.03852778563650257,0.10586275613193516
california,"alameda,sacramento,sanfrancisco,losangeles,santaclara",1156,HIGH_SCHOOL_GRADUATE_OR_HIGHER_25_PLUS_TOTAL,0.0015039400330517675,0.0077722823034613595,0.00809189517164029,0.007198927093459767,0.010086773050746425,0.0005058514835474053,0.04088942946159358
california,"alameda,sacramento,sanfrancisco,losangeles,santaclara",1156,BACHELOR_DEGREE_OR_HIGHER_25_PLUS_TOTAL,0.0029197684088521875,0.0077722823034613595,0.00809189517164029,0.007198927093459767,0.010086773050746425,0.0005302078558866997,0.021391054215634267
california,"alameda,sacramento,sanfrancisco,losangeles,santaclara",1156,PUBLIC_TRANSPORTATION,0.04823389433799951,0.0077722823034613595,0.00809189517164029,0.007198927093459767,0.010086773050746425,0.004992550417139774,0.165527932424542
california,"alameda,sacramento,sanfrancisco,losangeles,santaclara",1156,CAR_TRUCK_VAN_ALONE,0.015058528039049359,0.0077722823034613595,0.00809189517164029,0.007198927093459767,0.010086773050746425,0.0073371694762708935,0.026651435362048156
california,"alameda,sacramento,sanfrancisco,losangeles,santaclara",1156,CAR_TRUCK_VAN_CARPOOL,0.1372890077084111,0.0077722823034613595,0.00809189517164029,0.007198927093459767,0.010086773050746425,0.005158129214278105,0.17180463586111852
california,"alameda,sacramento,sanfrancisco,losangeles,santaclara",1156,PERCENT_INSURED,0.013669233248838168,0.0077722823034613595,0.00809189517164029,0.007198927093459767,0.010086773050746425,0.0016350772709810358,0.029226758498547074
california,"alameda,sacramento,sanfrancisco,losangeles,santaclara",1156,BELOW_POVERTY_LEVEL,0.012242247116470727,0.0077722823034613595,0.00809189517164029,0.007198927093459767,0.010086773050746425,0.003787292356690207,0.01769743100823297
