county,type,request_url,method,payload,header
California,All,https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/COVID-19/Race-Ethnicity.aspx,GET,N/A,N/A
Alameda,Deaths,https://services3.arcgis.com/1iDJcsklY3l3KIjE/arcgis/rest/services/AC_deaths_rates/FeatureServer/0/query?f=json&where=Geography%3D%27Alameda%20County%27&returnGeometry=false&spatialRel=esriSpatialRelIntersects&outFields=*&outStatistics=%5B%7B%22statisticType%22%3A%22avg%22%2C%22onStatisticField%22%3A%22Deaths_Hispanic_Latino%22%2C%22outStatisticFieldName%22%3A%22Deaths_Hispanic_Latino%22%7D%2C%7B%22statisticType%22%3A%22avg%22%2C%22onStatisticField%22%3A%22Deaths_Asian%22%2C%22outStatisticFieldName%22%3A%22Deaths_Asian%22%7D%2C%7B%22statisticType%22%3A%22avg%22%2C%22onStatisticField%22%3A%22Deaths_African_American_Black%22%2C%22outStatisticFieldName%22%3A%22Deaths_African_American_Black%22%7D%2C%7B%22statisticType%22%3A%22avg%22%2C%22onStatisticField%22%3A%22Deaths_White%22%2C%22outStatisticFieldName%22%3A%22Deaths_White%22%7D%5D&resultType=standard&cacheHint=true,GET,N/A,N/A
Alameda,Cases,https://ac-hcsa.maps.arcgis.com/apps/opsdashboard/index.html#/1e0ac4385cbe4cc1bffe2cf7f8e7f0d9,GET,N/A,N/A
San Francisco ,Cases,https://wabi-us-gov-iowa-api.analysis.usgovcloudapi.net/public/reports/querydata?synchronous=true,POST,"{""version"": ""1.0.0"", ""queries"": [{""Query"": {""Commands"": [{""SemanticQueryDataShapeCommand"": {
            ""Query"": {""Version"": 2, ""From"": [{""Name"": ""c"", ""Entity"": ""Cases_Ethnicity""}],
                      ""Select"": [{""Arithmetic"": {""Left"": {
                          ""Aggregation"": {
                              ""Expression"": {
                                  ""Column"": {""Expression"": {""SourceRef"": {""Source"": ""c""}}, ""Property"": ""Total Cases""}},
                              ""Function"": 0}}, ""Right"": {""ScopedEval"": {""Expression"": {""Aggregation"": {
                          ""Expression"": {
                              ""Column"": {""Expression"": {""SourceRef"": {""Source"": ""c""}}, ""Property"": ""Total Cases""}},
                          ""Function"": 0}}, ""Scope"": []}}, ""Operator"": 3},
                          ""Name"": ""CountNonNull(Cases_Ethnicity.Total Cases)""}, {
                          ""Aggregation"": {
                              ""Expression"": {
                                  ""Column"": {
                                      ""Expression"": {
                                          ""SourceRef"": {
                                              ""Source"": ""c""}},
                                      ""Property"": ""Total Cases""}},
                              ""Function"": 0},
                          ""Name"": ""CountNonNull(Cases_Ethnicity.Total Cases)1""},
                          {""Column"": {""Expression"": {
                              ""SourceRef"": {
                                  ""Source"": ""c""}},
                              ""Property"": ""raceethnicity""},
                              ""Name"": ""Cases_Ethnicity.raceethnicity""}],
                      ""OrderBy"": [{""Direction"": 1, ""Expression"": {""Arithmetic"": {""Left"": {""Aggregation"": {
                          ""Expression"": {
                              ""Column"": {""Expression"": {""SourceRef"": {""Source"": ""c""}}, ""Property"": ""Total Cases""}},
                          ""Function"": 0}}, ""Right"": {""ScopedEval"": {""Expression"": {""Aggregation"": {
                          ""Expression"": {
                              ""Column"": {""Expression"": {""SourceRef"": {""Source"": ""c""}}, ""Property"": ""Total Cases""}},
                          ""Function"": 0}}, ""Scope"": []}}, ""Operator"": 3}}}]},
            ""Binding"": {""Primary"": {""Groupings"": [{""Projections"": [0, 1, 2]}]},
                        ""DataReduction"": {""DataVolume"": 4, ""Primary"": {""Window"": {""Count"": 1000}}},
                        ""SuppressedJoinPredicates"": [1], ""Version"": 1}}}]},
            ""CacheKey"": ""{\""Commands\"":[{\""SemanticQueryDataShapeCommand\"":{\""Query\"":{\""Version\"":2,\""From\"":[{\""Name\"":\""c\"",\""Entity\"":\""Cases_Ethnicity\""}],\""Select\"":[{\""Arithmetic\"":{\""Left\"":{\""Aggregation\"":{\""Expression\"":{\""Column\"":{\""Expression\"":{\""SourceRef\"":{\""Source\"":\""c\""}},\""Property\"":\""Total Cases\""}},\""Function\"":0}},\""Right\"":{\""ScopedEval\"":{\""Expression\"":{\""Aggregation\"":{\""Expression\"":{\""Column\"":{\""Expression\"":{\""SourceRef\"":{\""Source\"":\""c\""}},\""Property\"":\""Total Cases\""}},\""Function\"":0}},\""Scope\"":[]}},\""Operator\"":3},\""Name\"":\""CountNonNull(Cases_Ethnicity.Total Cases)\""},{\""Aggregation\"":{\""Expression\"":{\""Column\"":{\""Expression\"":{\""SourceRef\"":{\""Source\"":\""c\""}},\""Property\"":\""Total Cases\""}},\""Function\"":0},\""Name\"":\""CountNonNull(Cases_Ethnicity.Total Cases)1\""},{\""Column\"":{\""Expression\"":{\""SourceRef\"":{\""Source\"":\""c\""}},\""Property\"":\""raceethnicity\""},\""Name\"":\""Cases_Ethnicity.raceethnicity\""}],\""OrderBy\"":[{\""Direction\"":1,\""Expression\"":{\""Arithmetic\"":{\""Left\"":{\""Aggregation\"":{\""Expression\"":{\""Column\"":{\""Expression\"":{\""SourceRef\"":{\""Source\"":\""c\""}},\""Property\"":\""Total Cases\""}},\""Function\"":0}},\""Right\"":{\""ScopedEval\"":{\""Expression\"":{\""Aggregation\"":{\""Expression\"":{\""Column\"":{\""Expression\"":{\""SourceRef\"":{\""Source\"":\""c\""}},\""Property\"":\""Total Cases\""}},\""Function\"":0}},\""Scope\"":[]}},\""Operator\"":3}}}]},\""Binding\"":{\""Primary\"":{\""Groupings\"":[{\""Projections\"":[0,1,2]}]},\""DataReduction\"":{\""DataVolume\"":4,\""Primary\"":{\""Window\"":{\""Count\"":1000}}},\""SuppressedJoinPredicates\"":[1],\""Version\"":1}}}]}"",
            ""QueryId"": """",
            ""ApplicationContext"": {""DatasetId"": ""507f48cb-a9bd-432f-af06-de81cb290a5e"",
                                   ""Sources"": [{
                                       ""ReportId"": ""4b76105e-31ab-44bf-89d7-66a4323e3e02""}]}}],
                   ""cancelQueries"": [], ""modelId"": 282807}","“{ 'Accept': 'application/json, text/plain, */*', 'Accept-Encoding': 'gzip, deflate, br', 'Accept-Language': 'en-US,en;q=0.9','ActivityId': 'c5f42d32-5a9b-6e57-910d-14c752f36ff5', 'Connection': 'keep-alive','Content-Length': '3171','Content-Type': 'application/json;charset=UTF-8','Host': 'wabi-us-gov-iowa-api.analysis.usgovcloudapi.net', 'Origin': 'https://app.powerbigov.us','Referer': 'https://app.powerbigov.us/view?r=eyJrIjoiMWEyYTRhYTAtMTdjYi00YTE1LWJiMTQtYTY3NmJmMjJhOThkIiwidCI6IjIyZDVjMmNmLWNlM2UtNDQzZC05YTdmLWRmY2MwMjMxZjczZiJ9&navContentPaneEnabled=false&filterPaneEnabled=false','RequestId': 'b6f43f3b-b415-4c24-a9d7-eff18bd5bbd0','Sec-Fetch-Dest': 'empty','Sec-Fetch-Mode': 'cors','Sec-Fetch-Site': 'cross-site','User-Agent': 'Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.97 Safari/537.36','X-PowerBI-ResourceKey': '1a2a4aa0-17cb-4a15-bb14-a676bf22a98d'}”"
San Francisco ,Deaths,https://wabi-us-gov-iowa-api.analysis.usgovcloudapi.net/public/reports/querydata?synchronous=true,POST,"{""version"":""1.0.0"",""queries"":[{""Query"":{""Commands"":[{""SemanticQueryDataShapeCommand"":{""Query"":{""Version"":2,""From"":[{""Name"":""d1"",""Entity"":""Deaths_Ethnicity""}],""Select"":[{""Aggregation"":{""Expression"":{""Column"":{""Expression"":{""SourceRef"":{""Source"":""d1""}},""Property"":""Total Cases""}},""Function"":0},""Name"":""Sum(Deaths_Ethnicity.Total Cases)""},{""Column"":{""Expression"":{""SourceRef"":{""Source"":""d1""}},""Property"":""raceethnicity""},""Name"":""Deaths_Ethnicity.raceethnicity""}],""OrderBy"":[{""Direction"":1,""Expression"":{""Aggregation"":{""Expression"":{""Column"":{""Expression"":{""SourceRef"":{""Source"":""d1""}},""Property"":""Total Cases""}},""Function"":0}}}]},""Binding"":{""Primary"":{""Groupings"":[{""Projections"":[0,1]}]},""DataReduction"":{""DataVolume"":4,""Primary"":{""Window"":{""Count"":1000}}},""Version"":1}}}]},""CacheKey"":""{\""Commands\"":[{\""SemanticQueryDataShapeCommand\"":{\""Query\"":{\""Version\"":2,\""From\"":[{\""Name\"":\""d1\"",\""Entity\"":\""Deaths_Ethnicity\""}],\""Select\"":[{\""Aggregation\"":{\""Expression\"":{\""Column\"":{\""Expression\"":{\""SourceRef\"":{\""Source\"":\""d1\""}},\""Property\"":\""Total Cases\""}},\""Function\"":0},\""Name\"":\""Sum(Deaths_Ethnicity.Total Cases)\""},{\""Column\"":{\""Expression\"":{\""SourceRef\"":{\""Source\"":\""d1\""}},\""Property\"":\""raceethnicity\""},\""Name\"":\""Deaths_Ethnicity.raceethnicity\""}],\""OrderBy\"":[{\""Direction\"":1,\""Expression\"":{\""Aggregation\"":{\""Expression\"":{\""Column\"":{\""Expression\"":{\""SourceRef\"":{\""Source\"":\""d1\""}},\""Property\"":\""Total Cases\""}},\""Function\"":0}}}]},\""Binding\"":{\""Primary\"":{\""Groupings\"":[{\""Projections\"":[0,1]}]},\""DataReduction\"":{\""DataVolume\"":4,\""Primary\"":{\""Window\"":{\""Count\"":1000}}},\""Version\"":1}}}]}"",""QueryId"":"""",""ApplicationContext"":{""DatasetId"":""507f48cb-a9bd-432f-af06-de81cb290a5e"",""Sources"":[{""ReportId"":""4b76105e-31ab-44bf-89d7-66a4323e3e02""}]}}],""cancelQueries"":[],""modelId"":282807}","{ 'Accept': 'application/json, text/plain, */*',
                  'Accept-Encoding': 'gzip, deflate, br',
                    'Accept-Language': 'en-US,en;q=0.9',
                    'ActivityId': '92ab9535-b7d3-477b-adbb-eb163a4b24e9',
                    'Connection': 'keep-alive',
                    'Content-Length': '1815',
                    'Content-Type': 'application/json;charset=UTF-8',
                    'Host': 'wabi-us-gov-iowa-api.analysis.usgovcloudapi.net',
                    'Origin': 'https://app.powerbigov.us',
                    'Referer': 'https://app.powerbigov.us/view?r=eyJrIjoiMWEyYTRhYTAtMTdjYi00YTE1LWJiMTQtYTY3NmJmMjJhOThkIiwidCI6IjIyZDVjMmNmLWNlM2UtNDQzZC05YTdmLWRmY2MwMjMxZjczZiJ9&navContentPaneEnabled=false&filterPaneEnabled=false',
                    'RequestId': 'b82a0201-b443-b44d-a6b6-55c10bdf7971',
                    'Sec-Fetch-Dest': 'empty',
                    'Sec-Fetch-Mode': 'cors',
                    'Sec-Fetch-Site': 'cross-site',
                    'User-Agent': 'Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.97 Safari/537.36',
                    'X-PowerBI-ResourceKey': '1a2a4aa0-17cb-4a15-bb14-a676bf22a98d',
        }"
Santa Clara,Cases,https://wabi-us-gov-virginia-api.analysis.usgovcloudapi.net/public/reports/querydata?synchronous=true,POST,"{""version"":""1.0.0"",""queries"":[{""Query"":{""Commands"":[{""SemanticQueryDataShapeCommand"":{""Query"":{""Version"":2,""From"":[{""Name"":""c"",""Entity"":""cases_race""}],""Select"":[{""Column"":{""Expression"":{""SourceRef"":{""Source"":""c""}},""Property"":""Race_eth""},""Name"":""cases_race.Race_eth""},{""Arithmetic"":{""Left"":{""Aggregation"":{""Expression"":{""Column"":{""Expression"":{""SourceRef"":{""Source"":""c""}},""Property"":""Percent_group""}},""Function"":0}},""Right"":{""ScopedEval"":{""Expression"":{""Aggregation"":{""Expression"":{""Column"":{""Expression"":{""SourceRef"":{""Source"":""c""}},""Property"":""Percent_group""}},""Function"":0}},""Scope"":[]}},""Operator"":3},""Name"":""Sum(cases_race.Percent_group)""},{""Arithmetic"":{""Left"":{""Aggregation"":{""Expression"":{""Column"":{""Expression"":{""SourceRef"":{""Source"":""c""}},""Property"":""Percent_pop""}},""Function"":0}},""Right"":{""ScopedEval"":{""Expression"":{""Aggregation"":{""Expression"":{""Column"":{""Expression"":{""SourceRef"":{""Source"":""c""}},""Property"":""Percent_pop""}},""Function"":0}},""Scope"":[]}},""Operator"":3},""Name"":""Sum(cases_race.Percent_pop)""}]},""Binding"":{""Primary"":{""Groupings"":[{""Projections"":[0,1,2],""Subtotal"":1}]},""DataReduction"":{""DataVolume"":3,""Primary"":{""Window"":{""Count"":500}}},""Version"":1}}}]},""CacheKey"":""{\""Commands\"":[{\""SemanticQueryDataShapeCommand\"":{\""Query\"":{\""Version\"":2,\""From\"":[{\""Name\"":\""c\"",\""Entity\"":\""cases_race\""}],\""Select\"":[{\""Column\"":{\""Expression\"":{\""SourceRef\"":{\""Source\"":\""c\""}},\""Property\"":\""Race_eth\""},\""Name\"":\""cases_race.Race_eth\""},{\""Arithmetic\"":{\""Left\"":{\""Aggregation\"":{\""Expression\"":{\""Column\"":{\""Expression\"":{\""SourceRef\"":{\""Source\"":\""c\""}},\""Property\"":\""Percent_group\""}},\""Function\"":0}},\""Right\"":{\""ScopedEval\"":{\""Expression\"":{\""Aggregation\"":{\""Expression\"":{\""Column\"":{\""Expression\"":{\""SourceRef\"":{\""Source\"":\""c\""}},\""Property\"":\""Percent_group\""}},\""Function\"":0}},\""Scope\"":[]}},\""Operator\"":3},\""Name\"":\""Sum(cases_race.Percent_group)\""},{\""Arithmetic\"":{\""Left\"":{\""Aggregation\"":{\""Expression\"":{\""Column\"":{\""Expression\"":{\""SourceRef\"":{\""Source\"":\""c\""}},\""Property\"":\""Percent_pop\""}},\""Function\"":0}},\""Right\"":{\""ScopedEval\"":{\""Expression\"":{\""Aggregation\"":{\""Expression\"":{\""Column\"":{\""Expression\"":{\""SourceRef\"":{\""Source\"":\""c\""}},\""Property\"":\""Percent_pop\""}},\""Function\"":0}},\""Scope\"":[]}},\""Operator\"":3},\""Name\"":\""Sum(cases_race.Percent_pop)\""}]},\""Binding\"":{\""Primary\"":{\""Groupings\"":[{\""Projections\"":[0,1,2],\""Subtotal\"":1}]},\""DataReduction\"":{\""DataVolume\"":3,\""Primary\"":{\""Window\"":{\""Count\"":500}}},\""Version\"":1}}}]}"",""QueryId"":"""",""ApplicationContext"":{""DatasetId"":""366bfc6b-cdb9-43a4-9208-89ffd773dfe7"",""Sources"":[{""ReportId"":""f863b97c-85d7-431e-a6bf-20549f18d10f""}]}}],""cancelQueries"":[],""modelId"":320392}","{ 'Accept': 'application/json, text/plain, */*',
                  'Accept-Encoding': 'gzip, deflate, br',
                    'Accept-Language': 'en-US,en;q=0.9',
                    'ActivityId': '235ea993-40b5-8975-b7de-2d182a1add43',
                    'Connection': 'keep-alive',
                    'Content-Length': '2691',
                    'Content-Type': 'application/json;charset=UTF-8',
                    'Host': 'wabi-us-gov-virginia-api.analysis.usgovcloudapi.net',
                    'Origin': 'https://app.powerbigov.us',
                    'Referer': 'https://app.powerbigov.us/view?r=eyJrIjoiZTg2MTlhMWQtZWE5OC00ZDI3LWE4NjAtMTU3YWYwZDRlOTNmIiwidCI6IjBhYzMyMDJmLWMzZTktNGY1Ni04MzBkLTAxN2QwOWQxNmIzZiJ9',
                    'RequestId': '442e39f9-eed1-af32-ef33-dc6bfbc48c8e',
                    'Sec-Fetch-Dest': 'empty',
                    'Sec-Fetch-Mode': 'cors',
                    'Sec-Fetch-Site': 'cross-site',
                    'User-Agent': 'Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.97 Safari/537.36',
                    'X-PowerBI-ResourceKey': 'e8619a1d-ea98-4d27-a860-157af0d4e93f',
        }"
Santa Clara,Total Deaths,https://wabi-us-gov-virginia-api.analysis.usgovcloudapi.net/public/reports/querydata?synchronous=true,POST,"{""version"":""1.0.0"",""queries"":[{""Query"":{""Commands"":[{""SemanticQueryDataShapeCommand"":{""Query"":{""Version"":2,""From"":[{""Name"":""c"",""Entity"":""counts""}],""Select"":[{""Aggregation"":{""Expression"":{""Column"":{""Expression"":{""SourceRef"":{""Source"":""c""}},""Property"":""Total""}},""Function"":0},""Name"":""Sum(counts.Total)""}],""Where"":[{""Condition"":{""In"":{""Expressions"":[{""Column"":{""Expression"":{""SourceRef"":{""Source"":""c""}},""Property"":""Category""}}],""Values"":[[{""Literal"":{""Value"":""'Deaths'""}}]]}}}]},""Binding"":{""Primary"":{""Groupings"":[{""Projections"":[0]}]},""DataReduction"":{""DataVolume"":3,""Primary"":{""Top"":{}}},""Version"":1}}}]},""CacheKey"":""{\""Commands\"":[{\""SemanticQueryDataShapeCommand\"":{\""Query\"":{\""Version\"":2,\""From\"":[{\""Name\"":\""c\"",\""Entity\"":\""counts\""}],\""Select\"":[{\""Aggregation\"":{\""Expression\"":{\""Column\"":{\""Expression\"":{\""SourceRef\"":{\""Source\"":\""c\""}},\""Property\"":\""Total\""}},\""Function\"":0},\""Name\"":\""Sum(counts.Total)\""}],\""Where\"":[{\""Condition\"":{\""In\"":{\""Expressions\"":[{\""Column\"":{\""Expression\"":{\""SourceRef\"":{\""Source\"":\""c\""}},\""Property\"":\""Category\""}}],\""Values\"":[[{\""Literal\"":{\""Value\"":\""'Deaths'\""}}]]}}}]},\""Binding\"":{\""Primary\"":{\""Groupings\"":[{\""Projections\"":[0]}]},\""DataReduction\"":{\""DataVolume\"":3,\""Primary\"":{\""Top\"":{}}},\""Version\"":1}}}]}"",""QueryId"":"""",""ApplicationContext"":{""DatasetId"":""366bfc6b-cdb9-43a4-9208-89ffd773dfe7"",""Sources"":[{""ReportId"":""f863b97c-85d7-431e-a6bf-20549f18d10f""}]}}],""cancelQueries"":[],""modelId"":320392}","{ 'Accept': 'application/json, text/plain, */*',
                  'Accept-Encoding': 'gzip, deflate, br',
                    'Accept-Language': 'en-US,en;q=0.9',
                    'ActivityId': '235ea993-40b5-8975-b7de-2d182a1add43',
                    'Connection': 'keep-alive',
                    'Content-Length': '1463',
                    'Content-Type': 'application/json;charset=UTF-8',
                    'Host': 'wabi-us-gov-virginia-api.analysis.usgovcloudapi.net',
                    'Origin': 'https://app.powerbigov.us',
                    'Referer': 'https://app.powerbigov.us/view?r=eyJrIjoiZTg2MTlhMWQtZWE5OC00ZDI3LWE4NjAtMTU3YWYwZDRlOTNmIiwidCI6IjBhYzMyMDJmLWMzZTktNGY1Ni04MzBkLTAxN2QwOWQxNmIzZiJ9',
                    'RequestId': '0f27d1d9-adfe-45c9-8b69-e3b5ddcb1cea',
                    'Sec-Fetch-Dest': 'empty',
                    'Sec-Fetch-Mode': 'cors',
                    'Sec-Fetch-Site': 'cross-site',
                    'User-Agent': 'Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.97 Safari/537.36',
                    'X-PowerBI-ResourceKey': 'e8619a1d-ea98-4d27-a860-157af0d4e93f',
        }"
Santa Clara,Total Cases,https://wabi-us-gov-virginia-api.analysis.usgovcloudapi.net/public/reports/querydata?synchronous=true,POST,"{""version"":""1.0.0"",""queries"":[{""Query"":{""Commands"":[{""SemanticQueryDataShapeCommand"":{""Query"":{""Version"":2,""From"":[{""Name"":""c"",""Entity"":""counts""}],""Select"":[{""Aggregation"":{""Expression"":{""Column"":{""Expression"":{""SourceRef"":{""Source"":""c""}},""Property"":""Total""}},""Function"":0},""Name"":""Sum(counts.Total)""}],""Where"":[{""Condition"":{""In"":{""Expressions"":[{""Column"":{""Expression"":{""SourceRef"":{""Source"":""c""}},""Property"":""Category""}}],""Values"":[[{""Literal"":{""Value"":""'Cases'""}}]]}}}]},""Binding"":{""Primary"":{""Groupings"":[{""Projections"":[0]}]},""DataReduction"":{""DataVolume"":3,""Primary"":{""Top"":{}}},""Version"":1}}}]},""CacheKey"":""{\""Commands\"":[{\""SemanticQueryDataShapeCommand\"":{\""Query\"":{\""Version\"":2,\""From\"":[{\""Name\"":\""c\"",\""Entity\"":\""counts\""}],\""Select\"":[{\""Aggregation\"":{\""Expression\"":{\""Column\"":{\""Expression\"":{\""SourceRef\"":{\""Source\"":\""c\""}},\""Property\"":\""Total\""}},\""Function\"":0},\""Name\"":\""Sum(counts.Total)\""}],\""Where\"":[{\""Condition\"":{\""In\"":{\""Expressions\"":[{\""Column\"":{\""Expression\"":{\""SourceRef\"":{\""Source\"":\""c\""}},\""Property\"":\""Category\""}}],\""Values\"":[[{\""Literal\"":{\""Value\"":\""'Cases'\""}}]]}}}]},\""Binding\"":{\""Primary\"":{\""Groupings\"":[{\""Projections\"":[0]}]},\""DataReduction\"":{\""DataVolume\"":3,\""Primary\"":{\""Top\"":{}}},\""Version\"":1}}}]}"",""QueryId"":"""",""ApplicationContext"":{""DatasetId"":""366bfc6b-cdb9-43a4-9208-89ffd773dfe7"",""Sources"":[{""ReportId"":""f863b97c-85d7-431e-a6bf-20549f18d10f""}]}}],""cancelQueries"":[],""modelId"":320392}","{ 'Accept': 'application/json, text/plain, */*',
                  'Accept-Encoding': 'gzip, deflate, br',
                    'Accept-Language': 'en-US,en;q=0.9',
                    'ActivityId': '235ea993-40b5-8975-b7de-2d182a1add43',
                    'Connection': 'keep-alive',
                    'Content-Length': '1461',
                    'Content-Type': 'application/json;charset=UTF-8',
                    'Host': 'wabi-us-gov-virginia-api.analysis.usgovcloudapi.net',
                    'Origin': 'https://app.powerbigov.us',
                    'Referer': 'https://app.powerbigov.us/view?r=eyJrIjoiZTg2MTlhMWQtZWE5OC00ZDI3LWE4NjAtMTU3YWYwZDRlOTNmIiwidCI6IjBhYzMyMDJmLWMzZTktNGY1Ni04MzBkLTAxN2QwOWQxNmIzZiJ9',
                    'RequestId': 'a0adb383-081a-b77e-09d7-472b5d74885f',
                    'Sec-Fetch-Dest': 'empty',
                    'Sec-Fetch-Mode': 'cors',
                    'Sec-Fetch-Site': 'cross-site',
                    'User-Agent': 'Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.97 Safari/537.36',
                    'X-PowerBI-ResourceKey': 'e8619a1d-ea98-4d27-a860-157af0d4e93f',
        }"
Santa Clara,Deaths,https://wabi-us-gov-virginia-api.analysis.usgovcloudapi.net/public/reports/querydata?synchronous=true,POST,"{""version"":""1.0.0"",""queries"":[{""Query"":{""Commands"":[{""SemanticQueryDataShapeCommand"":{""Query"":{""Version"":2,""From"":[{""Name"":""d"",""Entity"":""death_race""}],""Select"":[{""Column"":{""Expression"":{""SourceRef"":{""Source"":""d""}},""Property"":""Race_eth""},""Name"":""death_race.Race_eth""},{""Arithmetic"":{""Left"":{""Aggregation"":{""Expression"":{""Column"":{""Expression"":{""SourceRef"":{""Source"":""d""}},""Property"":""Counts""}},""Function"":0}},""Right"":{""ScopedEval"":{""Expression"":{""Aggregation"":{""Expression"":{""Column"":{""Expression"":{""SourceRef"":{""Source"":""d""}},""Property"":""Counts""}},""Function"":0}},""Scope"":[]}},""Operator"":3},""Name"":""Sum(death_race.Counts)""}],""OrderBy"":[{""Direction"":1,""Expression"":{""Column"":{""Expression"":{""SourceRef"":{""Source"":""d""}},""Property"":""Race_eth""}}}]},""Binding"":{""Primary"":{""Groupings"":[{""Projections"":[0,1]}]},""DataReduction"":{""DataVolume"":4,""Primary"":{""Window"":{""Count"":1000}}},""Version"":1}}}]},""CacheKey"":""{\""Commands\"":[{\""SemanticQueryDataShapeCommand\"":{\""Query\"":{\""Version\"":2,\""From\"":[{\""Name\"":\""d\"",\""Entity\"":\""death_race\""}],\""Select\"":[{\""Column\"":{\""Expression\"":{\""SourceRef\"":{\""Source\"":\""d\""}},\""Property\"":\""Race_eth\""},\""Name\"":\""death_race.Race_eth\""},{\""Arithmetic\"":{\""Left\"":{\""Aggregation\"":{\""Expression\"":{\""Column\"":{\""Expression\"":{\""SourceRef\"":{\""Source\"":\""d\""}},\""Property\"":\""Counts\""}},\""Function\"":0}},\""Right\"":{\""ScopedEval\"":{\""Expression\"":{\""Aggregation\"":{\""Expression\"":{\""Column\"":{\""Expression\"":{\""SourceRef\"":{\""Source\"":\""d\""}},\""Property\"":\""Counts\""}},\""Function\"":0}},\""Scope\"":[]}},\""Operator\"":3},\""Name\"":\""Sum(death_race.Counts)\""}],\""OrderBy\"":[{\""Direction\"":1,\""Expression\"":{\""Column\"":{\""Expression\"":{\""SourceRef\"":{\""Source\"":\""d\""}},\""Property\"":\""Race_eth\""}}}]},\""Binding\"":{\""Primary\"":{\""Groupings\"":[{\""Projections\"":[0,1]}]},\""DataReduction\"":{\""DataVolume\"":4,\""Primary\"":{\""Window\"":{\""Count\"":1000}}},\""Version\"":1}}}]}"",""QueryId"":"""",""ApplicationContext"":{""DatasetId"":""366bfc6b-cdb9-43a4-9208-89ffd773dfe7"",""Sources"":[{""ReportId"":""f863b97c-85d7-431e-a6bf-20549f18d10f""}]}}],""cancelQueries"":[],""modelId"":320392}","{ 'Accept': 'application/json, text/plain, */*',
                  'Accept-Encoding': 'gzip, deflate, br',
                    'Accept-Language': 'en-US,en;q=0.9',
                    'ActivityId': '4892726d-e072-4491-a2ab-8c7395a5a053',
                    'Connection': 'keep-alive',
                    'Content-Length': '2075',
                    'Content-Type': 'application/json;charset=UTF-8',
                    'Host': 'wabi-us-gov-virginia-api.analysis.usgovcloudapi.net',
                    'Origin': 'https://app.powerbigov.us',
                    'Referer': 'https://app.powerbigov.us/view?r=eyJrIjoiZTg2MTlhMWQtZWE5OC00ZDI3LWE4NjAtMTU3YWYwZDRlOTNmIiwidCI6IjBhYzMyMDJmLWMzZTktNGY1Ni04MzBkLTAxN2QwOWQxNmIzZiJ9',
                    'RequestId': 512a3a33-aa3a-0973-0dce-0a8503e83ac0',
                    'Sec-Fetch-Dest': 'empty',
                    'Sec-Fetch-Mode': 'cors',
                    'Sec-Fetch-Site': 'cross-site',
                    'User-Agent': 'Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.97 Safari/537.36',
                    'X-PowerBI-ResourceKey': 'e8619a1d-ea98-4d27-a860-157af0d4e93f',
        }"
Sonoma,All,https://socoemergency.org/emergency/novel-coronavirus/coronavirus-cases/,GET,N/A,
