White,Hispanic,Asian,Black,Other,date,White_discrepancy,Hispanic_discrepancy,Asian_discrepancy,Black_discrepancy,Other_discrepancy
39,48,52,8,3,2020-06-17,0.4928972246094737,1.271523178807947,0.8830022075055187,1.8921475875118259,0.36791758646063283
39,48,52,8,3,2020-06-18,0.48965447971072723,1.263157894736842,0.8940620782726045,1.8796992481203005,0.3654970760233918
39,48,52,8,3,2020-06-19,0.48965447971072723,1.263157894736842,0.8940620782726045,1.8796992481203005,0.3654970760233918
40,48,52,8,3,2020-06-20,0.502209722780233,1.263157894736842,0.8940620782726045,1.8796992481203005,0.3654970760233918
40,48,52,8,3,2020-06-21,0.502209722780233,1.263157894736842,0.8940620782726045,1.8796992481203005,0.3654970760233918
42,48,53,8,3,2020-06-22,0.5204718945176959,1.2467532467532467,0.8824508824508824,1.855287569573284,0.36075036075036077
42,48,53,8,3,2020-06-23,0.5204718945176959,1.2467532467532467,0.8824508824508824,1.855287569573284,0.36075036075036077
42,48,53,8,3,2020-06-24,0.5204718945176959,1.2467532467532467,0.8824508824508824,1.855287569573284,0.36075036075036077
44,48,52,8,3,2020-06-25,0.5417384880571288,1.238709677419355,0.8602150537634409,1.8433179723502304,0.35842293906810035
44,48,52,8,3,2020-06-26,0.5417384880571288,1.238709677419355,0.8602150537634409,1.8433179723502304,0.35842293906810035
44,48,52,8,3,2020-06-27,0.5417384880571288,1.238709677419355,0.8602150537634409,1.8433179723502304,0.35842293906810035
44,48,52,8,3,2020-06-28,0.5417384880571288,1.238709677419355,0.8602150537634409,1.8433179723502304,0.35842293906810035
44,48,52,8,3,2020-06-29,0.5417384880571288,1.238709677419355,0.8602150537634409,1.8433179723502304,0.35842293906810035
44,48,52,8,3,2020-06-30,0.5417384880571288,1.238709677419355,0.8602150537634409,1.8433179723502304,0.35842293906810035
