corr,Y,X,state,county,n
0.0,discrepancy,HOUSEHOLD_MEDIAN_INCOME_DOLLARS,california,imperial,17
0.0,discrepancy,HIGH_SCHOOL_GRADUATE_OR_HIGHER_25_PLUS_TOTAL,california,imperial,17
0.0,discrepancy,BACHELOR_DEGREE_OR_HIGHER_25_PLUS_TOTAL,california,imperial,17
0.0,discrepancy,PUBLIC_TRANSPORTATION,california,imperial,17
0.0,discrepancy,CAR_TRUCK_VAN_ALONE,california,imperial,17
0.0,discrepancy,CAR_TRUCK_VAN_CARPOOL,california,imperial,17
0.35399389353285887,discrepancy,HOUSEHOLD_MEDIAN_INCOME_DOLLARS,california,sacramento,215
0.5948866497719536,discrepancy,HIGH_SCHOOL_GRADUATE_OR_HIGHER_25_PLUS_TOTAL,california,sacramento,215
0.3478931550239098,discrepancy,BACHELOR_DEGREE_OR_HIGHER_25_PLUS_TOTAL,california,sacramento,215
0.41585141085110755,discrepancy,PUBLIC_TRANSPORTATION,california,sacramento,215
0.5894924783656256,discrepancy,CAR_TRUCK_VAN_ALONE,california,sacramento,215
0.780290229079672,discrepancy,CAR_TRUCK_VAN_CARPOOL,california,sacramento,215
0.9910882366013011,discrepancy,HOUSEHOLD_MEDIAN_INCOME_DOLLARS,california,alameda,183
0.5945895443760149,discrepancy,HIGH_SCHOOL_GRADUATE_OR_HIGHER_25_PLUS_TOTAL,california,alameda,183
0.8738426975883737,discrepancy,BACHELOR_DEGREE_OR_HIGHER_25_PLUS_TOTAL,california,alameda,183
0.5786190298029777,discrepancy,PUBLIC_TRANSPORTATION,california,alameda,183
0.6253882385130535,discrepancy,CAR_TRUCK_VAN_ALONE,california,alameda,183
0.6887362109967062,discrepancy,CAR_TRUCK_VAN_CARPOOL,california,alameda,183
0.6301503990504215,discrepancy,HOUSEHOLD_MEDIAN_INCOME_DOLLARS,california,losangeles,461
0.4608556572759062,discrepancy,HIGH_SCHOOL_GRADUATE_OR_HIGHER_25_PLUS_TOTAL,california,losangeles,461
0.552485474902084,discrepancy,BACHELOR_DEGREE_OR_HIGHER_25_PLUS_TOTAL,california,losangeles,461
0.5778120544041734,discrepancy,PUBLIC_TRANSPORTATION,california,losangeles,461
0.6504927337582439,discrepancy,CAR_TRUCK_VAN_ALONE,california,losangeles,461
0.43300165432796567,discrepancy,CAR_TRUCK_VAN_CARPOOL,california,losangeles,461
0.9077609634709274,discrepancy,HOUSEHOLD_MEDIAN_INCOME_DOLLARS,california,sanfrancisco,90
0.8841351136631211,discrepancy,HIGH_SCHOOL_GRADUATE_OR_HIGHER_25_PLUS_TOTAL,california,sanfrancisco,90
0.9433757321315396,discrepancy,BACHELOR_DEGREE_OR_HIGHER_25_PLUS_TOTAL,california,sanfrancisco,90
0.6747583098021419,discrepancy,PUBLIC_TRANSPORTATION,california,sanfrancisco,90
0.6374220825843386,discrepancy,CAR_TRUCK_VAN_ALONE,california,sanfrancisco,90
0.6693484245322923,discrepancy,CAR_TRUCK_VAN_CARPOOL,california,sanfrancisco,90
0.9809871252677415,discrepancy,HOUSEHOLD_MEDIAN_INCOME_DOLLARS,california,santaclara,207
0.7783630690983984,discrepancy,HIGH_SCHOOL_GRADUATE_OR_HIGHER_25_PLUS_TOTAL,california,santaclara,207
0.9025583971828925,discrepancy,BACHELOR_DEGREE_OR_HIGHER_25_PLUS_TOTAL,california,santaclara,207
0.5002109075753776,discrepancy,PUBLIC_TRANSPORTATION,california,santaclara,207
0.635261804286538,discrepancy,CAR_TRUCK_VAN_ALONE,california,santaclara,207
0.6661883344396774,discrepancy,CAR_TRUCK_VAN_CARPOOL,california,santaclara,207
