corr,Y,X,p_val,state,county,n
-0.8649671530498242,discrepancy,HOUSEHOLD_MEDIAN_INCOME_DOLLARS,6.696068258221693e-61,california,imperial,199
-0.8649671530498242,discrepancy,HIGH_SCHOOL_GRADUATE_OR_HIGHER_25_PLUS_TOTAL,6.696068258221693e-61,california,imperial,199
-0.8649671530498242,discrepancy,BACHELOR_DEGREE_OR_HIGHER_25_PLUS_TOTAL,6.696068258221693e-61,california,imperial,199
0.8649671530498242,discrepancy,PUBLIC_TRANSPORTATION,6.696068258221693e-61,california,imperial,199
-0.8649671530498242,discrepancy,CAR_TRUCK_VAN_ALONE,6.696068258221693e-61,california,imperial,199
-0.8649671530498242,discrepancy,CAR_TRUCK_VAN_CARPOOL,6.696068258221693e-61,california,imperial,199
-0.2038666479462209,discrepancy,HOUSEHOLD_MEDIAN_INCOME_DOLLARS,5.071049111889054e-07,california,riverside,597
0.04597006893175038,discrepancy,HIGH_SCHOOL_GRADUATE_OR_HIGHER_25_PLUS_TOTAL,0.2620953488331527,california,riverside,597
-0.10349230067954872,discrepancy,BACHELOR_DEGREE_OR_HIGHER_25_PLUS_TOTAL,0.011400229870688255,california,riverside,597
0.4204529394748714,discrepancy,PUBLIC_TRANSPORTATION,5.6667730029726455e-27,california,riverside,597
0.27352315600093247,discrepancy,CAR_TRUCK_VAN_ALONE,1.0518329797375236e-11,california,riverside,597
0.4127047648776053,discrepancy,CAR_TRUCK_VAN_CARPOOL,5.894972849860961e-26,california,riverside,597
-0.8140914851124055,discrepancy,HOUSEHOLD_MEDIAN_INCOME_DOLLARS,1.7514066705683397e-46,california,sonoma,191
-0.719158027023406,discrepancy,HIGH_SCHOOL_GRADUATE_OR_HIGHER_25_PLUS_TOTAL,1.0500651220889132e-31,california,sonoma,191
-0.7246114704431065,discrepancy,BACHELOR_DEGREE_OR_HIGHER_25_PLUS_TOTAL,2.2039608372639838e-32,california,sonoma,191
-0.5481082341803095,discrepancy,PUBLIC_TRANSPORTATION,2.2704004938952878e-16,california,sonoma,191
-0.18112440087728637,discrepancy,CAR_TRUCK_VAN_ALONE,0.012157745286234123,california,sonoma,191
0.8569800772106485,discrepancy,CAR_TRUCK_VAN_CARPOOL,2.609775009746527e-56,california,sonoma,191
-0.6940031702170667,discrepancy,HOUSEHOLD_MEDIAN_INCOME_DOLLARS,3.2158388561302624e-75,california,sacramento,515
-0.5511725687534619,discrepancy,HIGH_SCHOOL_GRADUATE_OR_HIGHER_25_PLUS_TOTAL,2.9251915605034336e-42,california,sacramento,515
-0.7885283244302889,discrepancy,BACHELOR_DEGREE_OR_HIGHER_25_PLUS_TOTAL,2.1963944332276395e-110,california,sacramento,515
-0.4866377800587263,discrepancy,PUBLIC_TRANSPORTATION,5.638241936109405e-32,california,sacramento,515
0.0220499848951703,discrepancy,CAR_TRUCK_VAN_ALONE,0.6176113160080767,california,sacramento,515
-0.4416211501962024,discrepancy,CAR_TRUCK_VAN_CARPOOL,5.380257051526965e-26,california,sacramento,515
-0.6040037736459043,discrepancy,HOUSEHOLD_MEDIAN_INCOME_DOLLARS,1.9619970995761318e-69,california,alameda,686
-0.16088809450044214,discrepancy,HIGH_SCHOOL_GRADUATE_OR_HIGHER_25_PLUS_TOTAL,2.297309542321262e-05,california,alameda,686
-0.5063691464525022,discrepancy,BACHELOR_DEGREE_OR_HIGHER_25_PLUS_TOTAL,5.9442541558495206e-46,california,alameda,686
-0.1687388589372827,discrepancy,PUBLIC_TRANSPORTATION,8.855629665001973e-06,california,alameda,686
0.34114247755205085,discrepancy,CAR_TRUCK_VAN_ALONE,3.7132528431616827e-20,california,alameda,686
